	up	down	right	left	explore
0,0	-1.17030400000001	-0.283840000000006	-0.283840000000006	-1.17030400000001	-4.17030400000001
0,1	-0.283840000000006	1.19359999999999	1.19359999999999	-1.17030400000001	-3.28384000000001
0,2	1.19359999999999	3.65599999999999	3.65599999999999	-0.283840000000006	-1.80640000000001
0,3	3.65599999999999	7.75999999999998	7.75999999999998	1.19359999999999	0.655999999999986
0,4	7.75999999999998	14.6	3.65599999999999	3.65599999999999	4.75999999999998
0,5	3.52229650829645	3.38476850840617	0.904741783752268	7.75999999999998	0.620439381687417
0,6	-0.162900454882102	-0.072984765738343	-0.196107907808695	3.54313871577695	-0.991676410654822
0,7	0	0	0	0	0
0,8	-0.459245824	-0.4138982776	-0.46092544	-0.50289496144	-0.6217984
0,9	-0.461568256	-0.461568256	-0.45625984	-0.49957078624	-0.784
1,0	-1.17030400000001	1.19359999999999	1.19359999999999	-0.283840000000006	-4.170304
1,1	-0.283840000000006	1.19359999999999	3.65599999999999	-0.283840000000006	-3.28384000000001
1,2	1.19359999999999	7.75999999999998	7.75999999999998	1.19359999999999	-1.80640000000001
1,3	3.65599999999999	7.75999999999998	14.6	3.65599999999999	0.655999999999986
1,4	7.75999999999998	26	14.6	7.75999999999998	4.75999999999998
1,5	0	0	0	0	0
1,6	-0.12230512	11.0032820924293	-0.1	-0.1	-0.284896
1,7	-0.1	-0.6	-0.1	-0.064	-0.4
1,8	-0.03392746	-0.1	-0.19	-0.1	0
1,9	0	0	0	0	0
2,0	-0.283840000000006	3.65599999999999	1.19359999999999	1.19359999999999	-3.28384000000001
2,1	0	0	0	0	0
2,2	3.65599999999999	14.6	7.75999999999998	7.75999999999998	0.655999999999986
2,3	0	0	0	0	0
2,4	14.6	28.4	28.4	26	45
2,5	28.3963018505278	49	25.9949453601552	25.9999986823101	46
2,6	0.699624940281152	1.985414	-1.0614840978	8.60545481289421	44.9991286533095
2,7	0	-0.6	0	3.71015333436518	0
2,8	0	0	0	0	0.05
2,9	0	0	0	0	0
3,0	1.19359999999999	1.19359999999999	7.75999999999998	3.65599999999999	-1.80640000000001
3,1	7.75999999999998	-1.34400000000002	14.6	3.65599999999999	4.75999999999998
3,2	7.75999999999998	7.75999999999998	26	7.75999999999998	4.75999999999998
3,3	26	26	28.4	14.6	45
3,4	25.9999999786381	19.9822123806159	49	25.9999996315001	46
3,5	0	0	0	0	0
3,6	0	0	0	20.06599	0
3,7	0	0	0	0	4.5
3,8	0	-0.1	0	0	-0.37
3,9	0	0	0	0	0
4,0	3.65599999999999	-0.306693283750632	-1.34821486175463	1.18590612227859	0.646643348622794
4,1	7.75999999999998	-1.26882521027244	7.68967756981593	1.18830515071464	4.74726563071414
4,2	14.6	-3.14448914763106	7.75994607879162	-1.34401515657203	11.5996064977942
4,3	0	0	0	0	0
4,4	28.3999999108793	2.3821390747176	4.92142753658495	12.0592090687611	40.5685309401738
4,5	4.9	-0.1	0	14.2668845302767	4.6
4,6	0	0	0	0	0
4,7	0	0	0	0	0
4,8	-0.1	-0.1	-0.1	0	-0.4
